ČÍSLO FAKTURY,IČO SPOLEČNOSTI,ČÁSTKA (V CELÝCH KČ)
160000,18581928,2610030
160001,67821984,2465901
160002,01846359,690502
160003,9831829,742091
160004,01846359,1918473
160005,05159822,1420599
160006,9831829,389426
160007,06230932,156105
160008,18539217,788743
160009,67821984,345794
160010,67821984,2219092
160011,67821984,964825
160012,67821984,2397889
160013,18539217,2493061
160014,18539217,1182527
160015,02838109,1961525
160016,02838109,2403524
160017,33828139,2771952
160018,06230932,1008227
160019,9831829,1101787
160020,06230932,1253689
160021,18581928,501314
160022,18539217,1102134
160023,33828139,82307
160024,06230932,2715795
160025,33828139,731306
160026,06230932,1437404
160027,01846359,2688221
160028,18581928,2021579
160029,9831829,1517996
160030,18539217,1960686
160031,06230932,322325
160032,02838109,56627
160033,18581928,2083957
160034,02838109,2127447
160035,05159822,2656843
160036,01846359,1545392
160037,02838109,253275
160038,92019399,1978128
160039,05159822,2977854
160040,67821984,2113445
160041,9831829,2794352
160042,18539217,1589791
160043,06230932,1904825
160044,06230932,2741905
160045,9831829,2641732
160046,02838109,1743977
160047,92019399,1253796
160048,92019399,760821
160049,01846359,1544189
160050,92019399,2486507
160051,18581928,1226949
160052,05159822,1035800
160053,18581928,2428448
160054,92019399,115460
160055,01846359,2952104
160056,18539217,393741
160057,18581928,2701183
160058,92019399,2474645
160059,06230932,1135869
160060,01846359,2865879
160061,9831829,737535
160062,06230932,2555305
160063,9831829,262035
160064,05159822,1645608
160065,33828139,2175925
160066,33828139,1323244
160067,18581928,2146666
160068,01846359,637749
160069,06230932,1538836
160070,18581928,453138
160071,9831829,2259992
160072,18539217,326833
160073,9831829,2623867
160074,9831829,155993
160075,01846359,104007
160076,18539217,679081
160077,9831829,972663
160078,18581928,1019356
160079,67821984,1904442
160080,18539217,2546062
160081,05159822,1004031
160082,02838109,1335962
160083,18539217,318644
160084,05159822,2600199
160085,92019399,2269100
160086,92019399,2978313
160087,92019399,2642931
160088,9831829,2595242
160089,67821984,931811
160090,92019399,1067464
160091,67821984,416943
160092,9831829,741310
160093,9831829,2484608
160094,18581928,1837514
160095,06230932,2288910
160096,02838109,2279127
160097,18581928,1628259
160098,02838109,2025291
160099,18539217,2381800
160100,01846359,1846078
160101,9831829,2441851
160102,18539217,1772677
160103,18581928,2477016
160104,67821984,1078258
160105,18539217,1777309
160106,67821984,2301516
160107,67821984,2624826
160108,18539217,1358103
160109,33828139,2016599
160110,05159822,694103
160111,18539217,1620184
160112,06230932,1036621
160113,05159822,2112193
160114,01846359,510174
160115,92019399,888024
160116,92019399,1451695
160117,01846359,835573
160118,92019399,2230308
160119,67821984,1294732
160120,9831829,1373331
160121,02838109,1846763
160122,18581928,595933
160123,67821984,2108720
160124,05159822,2196136
160125,02838109,1312064
160126,02838109,2000740
160127,92019399,812857
160128,92019399,2583414
160129,33828139,772198
160130,05159822,1372832
160131,18581928,1890700
160132,05159822,702464
160133,05159822,893522
160134,92019399,2055707
160135,01846359,2066150
160136,33828139,681498
160137,33828139,680169
160138,18581928,1727234
160139,33828139,1190560
160140,9831829,2339354
160141,33828139,2200296
160142,01846359,1577954
160143,18539217,2268251
160144,01846359,1631961
160145,92019399,2181068
160146,67821984,1143993
160147,06230932,2463647
160148,92019399,765283
160149,67821984,2325531
160150,9831829,1252821
160151,18581928,1396768
160152,18539217,1826165
160153,18539217,2593249
160154,9831829,1439268
160155,33828139,2730245
160156,33828139,1585119
160157,33828139,2860360
160158,05159822,1717921
160159,02838109,1259825
160160,06230932,2417149
160161,02838109,22061
160162,06230932,1338119
160163,02838109,219103
160164,33828139,286350
160165,9831829,2906135
160166,01846359,1863677
160167,05159822,2960445
160168,06230932,2024627
160169,06230932,787373
160170,06230932,2313505
160171,01846359,1145708
160172,01846359,1080109
160173,18581928,882638
160174,33828139,239481
160175,05159822,230929
160176,05159822,1073331
160177,9831829,2947676
160178,33828139,496150
160179,18539217,682495
160180,9831829,2785078
160181,92019399,92030
160182,02838109,638438
160183,01846359,2046744
160184,67821984,2227687
160185,18581928,257285
160186,92019399,1812970
160187,33828139,1905247
160188,18539217,2380235
160189,01846359,1996150
160190,92019399,2888492
160191,67821984,2977155
160192,92019399,11087
160193,67821984,1713661
160194,06230932,2629478
160195,18581928,1364082
160196,06230932,1477866
160197,05159822,1304806
160198,18581928,1022085
160199,18581928,2596651
160200,18581928,2424440
160201,18539217,2835537
160202,01846359,2928742
160203,67821984,2315616
160204,9831829,416940
160205,06230932,919517
160206,06230932,1729967
160207,33828139,988091
160208,01846359,2184806
160209,67821984,1002325
160210,33828139,1541594
160211,67821984,2345786
160212,05159822,1101948
160213,18581928,1000266
160214,92019399,2017268
160215,18539217,1317343
160216,01846359,2625324
160217,05159822,1930821
160218,33828139,2621379
160219,06230932,2389452
160220,18581928,2400565
160221,18581928,1682091
160222,18539217,2722054
160223,18539217,2235104
160224,18581928,2627797
160225,02838109,2624779
160226,9831829,2860643
160227,67821984,1552715
160228,67821984,2728224
160229,02838109,2963706
160230,18581928,2894424
160231,18539217,1160969
160232,18539217,2577636
160233,18581928,2675180
160234,01846359,1738204
160235,05159822,716440
160236,06230932,1935491
160237,05159822,2362344
160238,01846359,1555715
160239,01846359,563546
160240,9831829,526240
160241,33828139,11480
160242,18581928,961763
160243,02838109,166756
160244,9831829,616698
160245,9831829,654165
160246,18581928,2320296
160247,01846359,1268145
160248,01846359,2919055
160249,18539217,2213179
160250,06230932,2601145
160251,01846359,1395033
160252,06230932,2285440
160253,9831829,1576405
160254,67821984,1253164
160255,67821984,2346169
160256,92019399,2121256
160257,02838109,2392
160258,92019399,403891
160259,01846359,2144096
160260,18539217,210956
160261,06230932,429350
160262,18539217,1728136
160263,33828139,589629
160264,9831829,1240336
