ČÍSLO FAKTURY,IČO SPOLEČNOSTI,ČÁSTKA (V CELÝCH KČ)
200000,33828139,971335
200001,18581928,1846144
200002,06230932,2648464
200003,01846359,2164980
200004,05159822,2858192
200005,18581928,247437
200006,92019399,315320
200007,06230932,687962
200008,06230932,267896
200009,33828139,2938097
200010,06230932,151097
200011,18581928,2614788
200012,33828139,2118084
200013,92019399,1038222
200014,92019399,1793053
200015,67821984,2655651
200016,18581928,1881786
200017,06230932,2903900
200018,01846359,2246390
200019,02838109,334464
200020,05159822,2108488
200021,01846359,2257396
200022,67821984,1266984
200023,67821984,2159176
200024,05159822,1370086
200025,18581928,2732793
200026,05159822,2771186
200027,92019399,1098926
200028,9831829,1695676
200029,9831829,935433
200030,9831829,2771303
200031,06230932,1145643
200032,18539217,2117547
200033,9831829,2053537
200034,92019399,916686
200035,92019399,2806309
200036,33828139,1279397
200037,18539217,1809716
200038,01846359,833856
200039,01846359,94919
200040,18581928,440063
200041,05159822,1299167
200042,05159822,697961
200043,18539217,2640676
200044,33828139,2388862
200045,33828139,237191
200046,02838109,347955
200047,18539217,1134945
200048,9831829,1384651
200049,33828139,1836671
200050,67821984,562451
200051,01846359,1280967
200052,33828139,1428445
200053,67821984,2238233
200054,06230932,98350
200055,02838109,811910
200056,01846359,474700
200057,05159822,240042
200058,06230932,2034937
200059,01846359,599683
200060,33828139,977309
200061,18581928,1034015
200062,33828139,1567756
200063,9831829,2664327
200064,01846359,819064
200065,01846359,2396155
200066,06230932,1468542
200067,92019399,2126718
200068,05159822,2693164
200069,33828139,491071
200070,05159822,254824
200071,18539217,1318846
200072,02838109,2138393
200073,06230932,492178
200074,18581928,1237156
200075,67821984,1846330
200076,18581928,1401840
200077,18539217,2646250
200078,01846359,550320
200079,33828139,731659
200080,06230932,1824664
200081,05159822,285821
200082,06230932,2555513
200083,06230932,2738844
200084,01846359,2048089
200085,01846359,469958
200086,18581928,1937227
200087,01846359,1397993
200088,92019399,1337703
200089,06230932,1604871
200090,92019399,2238408
200091,92019399,320713
200092,18539217,1332375
200093,18581928,403231
200094,06230932,1277723
200095,18581928,1703714
200096,02838109,2335686
200097,06230932,173582
200098,9831829,2186080
200099,18539217,2503875
200100,33828139,1238594
200101,02838109,827626
200102,9831829,1728995
200103,05159822,99630
200104,06230932,2395737
200105,02838109,646838
200106,9831829,1879932
200107,06230932,778288
200108,33828139,2029600
200109,92019399,1200934
200110,33828139,2700685
200111,67821984,480025
200112,05159822,1173986
