ČÍSLO FAKTURY,IČO SPOLEČNOSTI,ČÁSTKA (V CELÝCH KČ)
170000,05159822,788176
170001,33828139,823560
170002,18581928,2167759
170003,33828139,2720148
170005,18581928,1247671
170006,06230932,824938
170007,92019399,767351
170008,92019399,45843
170009,92019399,2182991
170010,33828139,1535182
170011,01846359,91044
170012,06230932,2404655
170013,9831829,2300637
170014,18539217,542138
170015,9831829,2245128
170016,06230932,819033
170017,05159822,31701
170018,06230932,2534576
170019,01846359,1351599
170020,06230932,2446295
170021,01846359,2462151
170022,05159822,294718
170023,92019399,1969412
170024,05159822,1499976
170025,18581928,535239
170026,02838109,490929
170027,06230932,2006078
170028,06230932,232840
170029,18539217,51212
170030,02838109,1904717
170031,05159822,2245273
170032,92019399,1569717
170033,92019399,2303867
170034,06230932,571019
170035,9831829,759879
170036,05159822,254497
170037,67821984,1336208
170038,18539217,2558033
170039,18581928,1890075
170040,01846359,2543358
170041,9831829,347151
170042,92019399,623153
170043,02838109,2323773
170044,18581928,1354521
170045,67821984,615154
170046,33828139,2922223
170047,18539217,1637938
170048,18581928,2953558
170049,06230932,61529
170050,67821984,2215466
170051,06230932,1304157
170052,9831829,1584231
170053,33828139,495538
170054,18539217,387227
170055,05159822,1040485
170056,92019399,2136175
170057,02838109,1991323
170058,18581928,2324200
170059,06230932,2180473
170060,67821984,470120
170061,67821984,214273
170062,18539217,2489033
170063,92019399,2742482
170064,92019399,1465588
170065,92019399,2038086
170066,18539217,473205
170067,05159822,1142611
170068,9831829,2870057
170069,18539217,1638137
170070,05159822,1167853
170071,67821984,1019663
170072,67821984,1217718
170073,33828139,662451
170074,33828139,296412
170075,01846359,2735397
170076,92019399,1240191
170077,33828139,756041
170078,9831829,431988
170079,06230932,346388
170080,9831829,1357031
170081,33828139,2223086
170082,33828139,1200171
170083,18539217,185341
170084,67821984,45286
170085,9831829,2080516
170086,01846359,1517345
170087,33828139,1704155
170088,9831829,2189934
170089,9831829,2167958
170090,9831829,2307860
170091,06230932,2321630
170092,05159822,2900156
170093,05159822,14065
170094,02838109,2559005
170095,9831829,921931
170096,18581928,2718576
170097,9831829,928400
170098,9831829,153163
170099,92019399,2638401
170100,05159822,-2079
170101,18539217,1267257
170102,33828139,20326
170103,01846359,1484528
170104,05159822,336156
170105,06230932,2971435
170106,67821984,1752202
170107,92019399,2385794
170108,18539217,329594
170109,02838109,2620852
170110,18581928,1965388
170111,18581928,51135
170112,92019399,1237262
170113,01846359,2148838
